Date : 2021-04-27 01:46:41
Directory : /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src
Total : 146 files,  4571 codes, 107 comments, 414 blanks, all 5092 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/choicesjs/choices.scss                                                              | SCSS       |         13 |          0 |          1 |         14 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/common.scss                                                                         | SCSS       |          2 |          4 |          1 |          7 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/foundation/body.scss                                                                | SCSS       |          7 |          0 |          0 |          7 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/foundation/hr.scss                                                                  | SCSS       |         13 |          0 |          0 |         13 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/foundation/p.scss                                                                   | SCSS       |          4 |          0 |          0 |          4 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/layout/a.scss                                                                       | SCSS       |          4 |          0 |          0 |          4 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/layout/header.scss                                                                  | SCSS       |         42 |          0 |          2 |         44 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/layout/main.scss                                                                    | SCSS       |         18 |          0 |          3 |         21 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/layout/pageSequenceAnimation.scss                                                   | SCSS       |         17 |          0 |          4 |         21 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/layout/scrollBar.scss                                                               | SCSS       |         16 |          0 |          2 |         18 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/button.scss                                                        | SCSS       |         14 |          0 |          2 |         16 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/c-ballon.scss                                                      | SCSS       |         39 |          0 |          2 |         41 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/c-loadingSpinner.scss                                              | SCSS       |         61 |          0 |          7 |         68 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/iconWithDescription.scss                                           | SCSS       |          6 |          0 |          0 |          6 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/icooon.scss                                                        | SCSS       |          6 |          0 |          0 |          6 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/list.scss                                                          | SCSS       |         14 |          0 |          0 |         14 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/moviePlaceHolder.scss                                              | SCSS       |         11 |          0 |          1 |         12 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/recordCard.scss                                                    | SCSS       |         14 |          0 |          1 |         15 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/recordCardsGroup.scss                                              | SCSS       |          3 |          0 |          0 |          3 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/runnerNote.scss                                                    | SCSS       |         13 |          0 |          4 |         17 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/stateInfo.scss                                                     | SCSS       |          8 |          0 |          1 |          9 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/tags.scss                                                          | SCSS       |         34 |          0 |          4 |         38 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/textInput.scss                                                     | SCSS       |         19 |          0 |          0 |         19 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/title.scss                                                         | SCSS       |         12 |          0 |          2 |         14 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/component/userIcon.scss                                                      | SCSS       |          5 |          0 |          1 |          6 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/project/titlePostHeader.scss                                                 | SCSS       |         10 |          0 |          0 |         10 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/background.scss                                                      | SCSS       |         68 |          0 |          2 |         70 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/flex.scss                                                            | SCSS       |         10 |          0 |          0 |         10 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/fontChanger.scss                                                     | SCSS       |         29 |          0 |          2 |         31 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/margin.scss                                                          | SCSS       |         21 |          0 |          4 |         25 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/space.scss                                                           | SCSS       |         16 |          0 |          0 |         16 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/underline.scss                                                       | SCSS       |          3 |          0 |          1 |          4 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/unused.scss                                                          | SCSS       |          3 |          0 |          0 |          3 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/width.scss                                                           | SCSS       |         25 |          0 |          1 |         26 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/APICaller.ts                                                     | TypeScript |         22 |          0 |          2 |         24 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/HeaderController.ts                                              | TypeScript |         20 |          0 |          1 |         21 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/HistoryAdministrator.ts                                          | TypeScript |         29 |          0 |          1 |         30 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/LoginAdministrator.ts                                            | TypeScript |         40 |          5 |          1 |         46 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/StateAdminister.ts                                               | TypeScript |         63 |          6 |          3 |         72 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/TransitionAdminister.ts                                          | TypeScript |         33 |          0 |          8 |         41 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/App.ts                                                                         | TypeScript |         76 |          0 |          5 |         81 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/exampleInputData.json                                                          | JSON       |         40 |          0 |          4 |         44 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/firebase.ts                                                                    | TypeScript |          4 |          0 |          0 |          4 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/index.ts                                                                       | TypeScript |          5 |          0 |          2 |          7 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/interface/AppInterfaces.ts                                                     | TypeScript |         26 |          0 |          3 |         29 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/interface/PageStatesStructure.ts                                               | TypeScript |          8 |          0 |          1 |          9 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/test/exampleData.json                                                          | JSON       |         50 |          0 |          0 |         50 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/type/TransitionInfo.ts                                                         | TypeScript |          5 |          0 |          2 |          7 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/utility/aboutElement.ts                                                        | TypeScript |         24 |          1 |          5 |         30 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/IView.ts                                                                  | TypeScript |          3 |          0 |          0 |          3 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/main.ts                                                                   | TypeScript |          0 |          0 |          1 |          1 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/MovieWidgetCreator.ts                                               | TypeScript |         51 |          2 |          1 |         54 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/OfferFormView.ts                                                    | TypeScript |        267 |          3 |         35 |        305 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/RecordCardView.ts                                                   | TypeScript |         48 |          2 |          2 |         52 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/RecordDetailView.ts                                                 | TypeScript |         62 |          4 |         17 |         83 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/RecordsGroupView.ts                                                 | TypeScript |         61 |          0 |          5 |         66 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/SelectChoicesCapsuled.ts                                            | TypeScript |         99 |          0 |          4 |        103 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/StateInfoView.ts                                                    | TypeScript |         17 |          0 |          1 |         18 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/TagsView.ts                                                         | TypeScript |        100 |          0 |          5 |        105 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/TextChoicesCapsuled.ts                                              | TypeScript |         19 |          0 |          3 |         22 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/TextInputCapsuled.ts                                                | TypeScript |         28 |          0 |          3 |         31 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/gameModeCardsGroup.ts                                               | TypeScript |         51 |          1 |          3 |         55 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/gameSystemCardsGroup.ts                                             | TypeScript |         49 |          1 |          1 |         51 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/searchConditionSelector.ts                                          | TypeScript |        145 |          3 |         21 |        169 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/ErrorState.ts                                                       | TypeScript |         21 |          0 |          1 |         22 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/GameModeSelector.ts                                                 | TypeScript |         11 |          0 |          2 |         13 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/PageStateClass.ts                                                   | TypeScript |         43 |          2 |          3 |         48 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/PageStates.ts                                                       | TypeScript |         45 |          1 |          2 |         48 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/SearchDetail.ts                                                     | TypeScript |         24 |          0 |          5 |         29 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/SpinnerExhibition.ts                                                | TypeScript |         13 |          0 |          2 |         15 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/UserPageState.ts                                                    | TypeScript |          9 |          0 |          0 |          9 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/gameSystemSelector.ts                                               | TypeScript |         10 |          0 |          2 |         12 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/mainMenu.ts                                                         | TypeScript |        176 |          3 |         12 |        191 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/none.ts                                                             | TypeScript |          7 |          0 |          0 |          7 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/offerForm.ts                                                        | TypeScript |         22 |          0 |          4 |         26 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/registrer.ts                                                        | TypeScript |          0 |          0 |          1 |          1 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/searchConditionSelector.ts                                          | TypeScript |         18 |          0 |          4 |         22 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/searchResult.ts                                                     | TypeScript |         12 |          0 |          1 |         13 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/sendRecordOffer.ts                                                  | TypeScript |         18 |         19 |          2 |         39 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/setting/settings.ts                                                                   | TypeScript |          7 |          0 |          2 |          9 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/LanguageInApplication.ts                                                         | TypeScript |          2 |          1 |          0 |          3 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/ValidateFunction.ts                                                          | TypeScript |          2 |          0 |          0 |          2 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/IReceivedDataAtClient_getlist.ts                                        | TypeScript |          5 |          0 |          4 |          9 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/IReceivedDataAtClient_pickUp.ts                                         | TypeScript |          5 |          0 |          3 |          8 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_getlist/IReceivedDataAtServer_getlist_UseId.ts                 | TypeScript |          6 |          1 |          3 |         10 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_getlist/IReceivedDataAtServer_getlist_UseId.validator.ts       | TypeScript |         39 |          2 |          3 |         44 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_getlist/IReceivedDataAtServer_getlist_UseSIdId.ts              | TypeScript |          7 |          0 |          4 |         11 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_getlist/IReceivedDataAtServer_getlist_UseSIdId.validator.ts    | TypeScript |         55 |          2 |          3 |         60 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_getlist/IReceivedDataAtServer_getlist_UseSIdMIdId.ts           | TypeScript |         10 |          0 |          4 |         14 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_getlist/IReceivedDataAtServer_getlist_UseSIdMIdId.validator.ts | TypeScript |         59 |          2 |          3 |         64 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_pickup/IReceivedDataAtServer_pickUp_UseId.ts                   | TypeScript |          4 |          0 |          3 |          7 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_pickup/IReceivedDataAtServer_pickUp_UseId.validator.ts         | TypeScript |         33 |          2 |          3 |         38 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_pickup/IReceivedDataAtServer_pickUp_UseSIdId.ts                | TypeScript |          5 |          0 |          3 |          8 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_pickup/IReceivedDataAtServer_pickUp_UseSIdId.validator.ts      | TypeScript |         47 |          2 |          3 |         52 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_pickup/IReceivedDataAtServer_pickUp_UseSIdMIdId.ts             | TypeScript |          8 |          0 |          2 |         10 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_pickup/IReceivedDataAtServer_pickUp_UseSIdMIdId.validator.ts   | TypeScript |         51 |          2 |          3 |         56 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/relation.ts                                                             | TypeScript |         71 |          0 |          3 |         74 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/IReceivedDataAtClient_recordDetail.ts                                 | TypeScript |          5 |          0 |          2 |          7 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/IReceivedDataAtClient_recordSearch.ts                                 | TypeScript |          5 |          0 |          3 |          8 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/IReceivedDataAtServer_recordDetail.ts                                 | TypeScript |         10 |          0 |          2 |         12 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/IReceivedDataAtServer_recordDetail.validator.ts                       | TypeScript |         64 |          2 |          3 |         69 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/IReceivedDataAtServer_recordSearch.ts                                 | TypeScript |          5 |          0 |          3 |          8 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/IReceivedDataAtServer_recordSearch.validator.ts                       | TypeScript |        139 |          2 |          3 |        144 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/IReceivedData_recordWrite.ts                                          | TypeScript |         23 |          0 |          2 |         25 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/relation.ts                                                           | TypeScript |         13 |          0 |          2 |         15 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/relation.ts                                                                  | TypeScript |         26 |          0 |          5 |         31 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/transmissionBase.ts                                                          | TypeScript |         12 |          0 |          2 |         14 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/foundation/IGameSystemEnvironment.ts                                             | TypeScript |         15 |          1 |          0 |         16 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/foundation/IRegulation.ts                                                        | TypeScript |         16 |          0 |          1 |         17 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/foundation/icooonResolvable.ts                                                   | TypeScript |          3 |          0 |          0 |          3 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IAbilityItem.ts                                                             | TypeScript |          3 |          0 |          2 |          5 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IGameDifficultyItem.ts                                                      | TypeScript |          4 |          0 |          2 |          6 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IGameModeItem.ts                                                            | TypeScript |         21 |          3 |          2 |         26 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IGameSystemInfo.ts                                                          | TypeScript |         22 |          0 |          3 |         25 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IItemOfResolveTableToName.ts                                                | TypeScript |         12 |          0 |          1 |         13 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/ITargetItem.ts                                                              | TypeScript |          3 |          0 |          2 |          5 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/record/IRecord.ts                                                                | TypeScript |         36 |          4 |          3 |         43 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/record/IRecordGroupResolved.ts                                                   | TypeScript |          9 |          0 |          2 |         11 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/record/IRunner.ts                                                                | TypeScript |         15 |          0 |          1 |         16 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/record/OrderOfRecordArray.ts                                                     | TypeScript |          1 |          1 |          1 |          3 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/record/SearchCondition.ts                                                        | TypeScript |         20 |          2 |          2 |         24 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/utility/InputCheckerUtility.ts                                                        | TypeScript |         46 |          1 |          2 |         49 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/utility/ViewUtility.ts                                                                | TypeScript |         70 |          0 |          4 |         74 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/utility/aboutLang.ts                                                                  | TypeScript |         22 |          0 |          2 |         24 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/utility/arrayUtility.ts                                                               | TypeScript |          9 |          0 |          0 |          9 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/utility/inputCheckerUtility.test.ts                                                   | TypeScript |         77 |          0 |          2 |         79 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/utility/rankUtility.ts                                                                | TypeScript |         11 |          0 |          2 |         13 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/utility/timeUtility.ts                                                                | TypeScript |         29 |          0 |          1 |         30 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/utility/undefinedChecker.ts                                                           | TypeScript |          8 |          0 |          0 |          8 |
| Total                                                                                                                                             |            |      4,571 |        107 |        414 |      5,092 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
